Species,Assembly name,Species_Tree,Taxonomic Lineage
Hemitragus_hylocrius,HLhemHyl1,Hemitragus_hylocrius,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Hemitragus
Heterocephalus_glaber,HLhetGla3,Heterocephalus_glaber,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus
Heterocephalus_glaber,hetGla2,Heterocephalus_glaber,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus
Heterohyrax_brucei,HLhetBru1,Heterohyrax_brucei,Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Heterohyrax
Hippopotamus_amphibius,HLhipAmp1,Hippopotamus_amphibius,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus
Hippopotamus_amphibius,HLhipAmp3,Hippopotamus_amphibius,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus
Hipposideros_armiger,HLhipArm1,Hipposideros_armiger,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Hipposideridae; Hipposideros
Hipposideros_galeritus,HLhipGal1,Hipposideros_galeritus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Hipposideridae; Hipposideros
Hyaena_hyaena,HLhyaHya1,Hyaena_hyaena,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Hyaena
Hydrochoerus_hydrochaeris,HLhydHyd1,Hydrochoerus_hydrochaeris,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus
Hydrochoerus_hydrochaeris,HLhydHyd2,Hydrochoerus_hydrochaeris,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus
Hystrix_cristata,HLhysCri1,Hystrix_cristata,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hystricidae; Hystrix
Ictidomys_tridecemlineatus,HLictTri2,Ictidomys_tridecemlineatus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys
Ictidomys_tridecemlineatus,speTri2,Ictidomys_tridecemlineatus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys
Indri_indri,HLindInd1,Indri_indri,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Indri
Inia_geoffrensis,HLlniGeo1,Inia_geoffrensis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia
Jaculus_jaculus,jacJac1,Jaculus_jaculus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Jaculus
Kogia_breviceps,HLkogBre1,Kogia_breviceps,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Kogia
Lasiurus_borealis,HLlasBor1,Lasiurus_borealis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Lasiurus
Lemur_catta,HLlemCat1,Lemur_catta,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur
Lemur_catta,HLlemCat2,Lemur_catta,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur
Leptonychotes_weddellii,HLlepWed2,Leptonychotes_weddellii,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Leptonychotes
Leptonychotes_weddellii,lepWed1,Leptonychotes_weddellii,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Leptonychotes
Lepus_americanus,HLlepAme1,Lepus_americanus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus
Lipotes_vexillifer,lipVex1,Lipotes_vexillifer,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Lipotidae; Lipotes
Loxodonta_africana,HLloxAfr4,Loxodonta_africana,Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta
Lycaon_pictus,HLlycPic2,Lycaon_pictus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon
Lycaon_pictus,HLlycPic3,Lycaon_pictus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon
Macaca_fascicularis,HLmacFas6,Macaca_fascicularis,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca
Macaca_mulatta,rheMac10,Macaca_mulatta,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca
Macaca_nemestrina,macNem1,Macaca_nemestrina,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca
Macroglossus_sobrinus,HLmacSob1,Macroglossus_sobrinus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Macroglossinae; Macroglossus
Mandrillus_leucophaeus,manLeu1,Mandrillus_leucophaeus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus
